Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
Oracle,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,80,55800,SVR_RHL6_ORCL_001,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,80,55800,SVR_RHL6_ORCL_002,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,80,72000,SVR_RHL6_ORCL_003,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,80,124402,SVR_RHL6_ORCL_004,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,80,124402,SVR_RHL6_ORCL_005,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,80,140602,SVR_RHL6_ORCL_006,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,80,93960,SVR_RHL6_ORCL_007,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,80,93960,SVR_RHL6_ORCL_008,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,80,110160,SVR_RHL6_ORCL_009,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,80,162562,SVR_RHL6_ORCL_010,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,80,162562,SVR_RHL6_ORCL_011,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,80,178762,SVR_RHL6_ORCL_012,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,80,55800,SVR_RHL6_ORCL_013,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,80,55800,SVR_RHL6_ORCL_014,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,80,72000,SVR_RHL6_ORCL_015,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,80,124402,SVR_RHL6_ORCL_016,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,80,124402,SVR_RHL6_ORCL_017,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,80,140602,SVR_RHL6_ORCL_018,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,80,93960,SVR_RHL6_ORCL_019,RHEL 6 Oracle Database Server,server
Oracle,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,80,93960,SVR_RHL6_ORCL_020,RHEL 6 Oracle Database Server,server
