Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
Application,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,53100,SVR_W2008_APP_020,Windows 2008 Application Server,server
Application,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,69300,SVR_W2008_APP_021,Windows 2008 Application Server,server
Application,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,145552,SVR_W2008_APP_022,Windows 2008 Application Server,server
Application,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,145552,SVR_W2008_APP_023,Windows 2008 Application Server,server
Application,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,161752,SVR_W2008_APP_024,Windows 2008 Application Server,server
Application,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,53100,SVR_RHL6_APP_001,RHEL 6 Application Server,server
Application,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,53100,SVR_RHL6_APP_002,RHEL 6 Application Server,server
Application,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,69300,SVR_RHL6_APP_003,RHEL 6 Application Server,server
Application,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,145552,SVR_RHL6_APP_004,RHEL 6 Application Server,server
Application,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,145552,SVR_RHL6_APP_005,RHEL 6 Application Server,server
Application,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,161752,SVR_RHL6_APP_006,RHEL 6 Application Server,server
Application,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,53100,SVR_RHL6_APP_007,RHEL 6 Application Server,server
Application,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,53100,SVR_RHL6_APP_008,RHEL 6 Application Server,server
Application,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,69300,SVR_RHL6_APP_009,RHEL 6 Application Server,server
Application,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,145552,SVR_RHL6_APP_010,RHEL 6 Application Server,server
Application,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,145552,SVR_RHL6_APP_011,RHEL 6 Application Server,server
Application,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,161752,SVR_RHL6_APP_012,RHEL 6 Application Server,server
Application,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,53100,SVR_RHL6_APP_013,RHEL 6 Application Server,server
Application,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,53100,SVR_RHL6_APP_014,RHEL 6 Application Server,server
Application,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,69300,SVR_RHL6_APP_015,RHEL 6 Application Server,server
Application,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,145552,SVR_RHL6_APP_016,RHEL 6 Application Server,server
Application,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,145552,SVR_RHL6_APP_017,RHEL 6 Application Server,server
Application,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,161752,SVR_RHL6_APP_018,RHEL 6 Application Server,server
Application,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,53100,SVR_RHL6_APP_019,RHEL 6 Application Server,server
Application,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,53100,SVR_RHL6_APP_020,RHEL 6 Application Server,server
Application,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,69300,SVR_RHL6_APP_021,RHEL 6 Application Server,server
Application,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,145552,SVR_RHL6_APP_022,RHEL 6 Application Server,server
Application,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,145552,SVR_RHL6_APP_023,RHEL 6 Application Server,server
Application,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,161752,SVR_RHL6_APP_024,RHEL 6 Application Server,server
Application,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,53100,SVR_RHL5_APP_001,RHEL 5 Application Server,server
Application,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,53100,SVR_RHL5_APP_002,RHEL 5 Application Server,server
Application,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,69300,SVR_RHL5_APP_003,RHEL 5 Application Server,server
Application,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,145552,SVR_RHL5_APP_004,RHEL 5 Application Server,server
Application,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,145552,SVR_RHL5_APP_005,RHEL 5 Application Server,server
Application,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,161752,SVR_RHL5_APP_006,RHEL 5 Application Server,server
Application,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,53100,SVR_RHL5_APP_007,RHEL 5 Application Server,server
Application,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,53100,SVR_RHL5_APP_008,RHEL 5 Application Server,server
Application,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,69300,SVR_RHL5_APP_009,RHEL 5 Application Server,server
Application,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,145552,SVR_RHL5_APP_010,RHEL 5 Application Server,server
Application,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,145552,SVR_RHL5_APP_011,RHEL 5 Application Server,server
Application,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,161752,SVR_RHL5_APP_012,RHEL 5 Application Server,server
Application,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,53100,SVR_RHL5_APP_013,RHEL 5 Application Server,server
Application,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,53100,SVR_RHL5_APP_014,RHEL 5 Application Server,server
Application,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,69300,SVR_RHL5_APP_015,RHEL 5 Application Server,server
Application,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,145552,SVR_RHL5_APP_016,RHEL 5 Application Server,server
Application,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,145552,SVR_RHL5_APP_017,RHEL 5 Application Server,server
Application,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,161752,SVR_RHL5_APP_018,RHEL 5 Application Server,server
Application,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,53100,SVR_RHL5_APP_019,RHEL 5 Application Server,server
Application,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,53100,SVR_RHL5_APP_020,RHEL 5 Application Server,server
Application,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,69300,SVR_RHL5_APP_021,RHEL 5 Application Server,server
Application,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,145552,SVR_RHL5_APP_022,RHEL 5 Application Server,server
Application,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,145552,SVR_RHL5_APP_023,RHEL 5 Application Server,server
Application,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,161752,SVR_RHL5_APP_024,RHEL 5 Application Server,server
